Timestamp,Trade_Type,Price,Amount
2025-07-15 07:30,BUY,116721.33,0.000856
2025-07-15 11:45,SELL,117113.98,0.000856
2025-07-15 07:30,BUY,116721.33,0.000856
2025-07-15 12:30,SELL,116533.55,0.000856
2025-07-15 07:30,BUY,116721.33,0.000856
2025-07-15 12:30,SELL,116533.55,0.000856
2025-07-15 07:30,BUY,116721.33,0.000856
2025-07-15 12:30,SELL,116533.55,0.000856
2025-07-15 07:30,BUY,116721.33,0.000856
2025-07-15 12:30,SELL,116533.55,0.000856
2025-07-15 05:30,BUY,117139.01,0.000853
2025-07-15 10:30,SELL,117149.99,0.000853
2025-07-15 11:15,BUY,116474.98,0.000856
2025-07-15 11:45,SELL,117113.98,0.000856
2025-07-15 05:30,BUY,117139.01,0.000853
2025-07-15 10:30,SELL,117149.99,0.000853
2025-07-15 11:15,BUY,116474.98,0.000856
2025-07-15 13:00,SELL,118055.48,0.000856
2025-07-15 05:30,BUY,117139.01,0.000853
2025-07-15 10:30,SELL,117149.99,0.000853
2025-07-15 11:15,BUY,116474.98,0.000856
2025-07-15 13:00,SELL,118055.48,0.000856
2025-07-15 05:30,BUY,117139.01,0.000853
2025-07-15 10:30,SELL,117149.99,0.000853
2025-07-15 11:15,BUY,116474.98,0.000856
2025-07-15 14:45,SELL,116008.19,0.000856
2025-07-15 05:30,BUY,117139.01,0.000853
2025-07-15 10:30,SELL,117149.99,0.000853
2025-07-15 11:15,BUY,116474.98,0.000856
2025-07-15 14:45,SELL,116008.19,0.000856
2025-07-14 18:30,BUY,119876.31,0.000833
2025-07-14 22:00,SELL,120201.31,0.000833
2025-07-15 05:00,BUY,117658.01,0.000850
2025-07-15 10:00,SELL,116744.49,0.000850
2025-07-15 11:00,BUY,116780.00,0.000848
2025-07-15 11:45,SELL,117113.98,0.000848
2025-07-15 12:30,BUY,116533.55,0.000850
2025-07-15 12:45,SELL,117204.18,0.000850
2025-07-18 13:30,BUY,118660.00,0.000838
2025-07-18 14:15,SELL,117950.25,0.000838
2025-07-18 17:30,BUY,117601.88,0.000839
2025-07-18 21:00,SELL,117841.35,0.000839
2025-07-23 08:15,BUY,118365.75,0.000834
2025-07-23 11:15,SELL,118597.12,0.000834
2025-07-23 12:45,BUY,117980.70,0.000836
2025-07-23 14:45,SELL,118204.99,0.000836
2025-07-14 18:30,BUY,119876.31,0.000833
2025-07-14 23:30,SELL,119843.59,0.000833
2025-07-15 05:00,BUY,117658.01,0.000847
2025-07-15 10:00,SELL,116744.49,0.000847
2025-07-15 11:00,BUY,116780.00,0.000845
